address,latitude,longitude,datetime,precip,temp,mint,maxt,wdir,wgust,wspd
"Reston,VA",38.95979,-77.35453,06/25/2019 06:00:00,0.2,83.6,78,87,300,19.5,10.3
"Reston,VA",38.95979,-77.35453,06/25/2019 18:00:00,0.1,74.9,65.9,85,309.2,15,6.9
"Reston,VA",38.95979,-77.35453,06/26/2019 06:00:00,0,80.7,65.9,90.1,296.7,10.3,5.2
"Reston,VA",38.95979,-77.35453,06/26/2019 18:00:00,0,79.4,69,90.1,247.5,8.1,3
"Reston,VA",38.95979,-77.35453,06/27/2019 06:00:00,0,83.6,70.6,92,309.2,6.9,3.9
"Reston,VA",38.95979,-77.35453,06/27/2019 18:00:00,0,82.1,76,90.8,190.8,4.9,2
"Reston,VA",38.95979,-77.35453,06/28/2019 06:00:00,0,84.5,77.3,90.9,286.7,5.4,2.2
"Reston,VA",38.95979,-77.35453,06/28/2019 18:00:00,0,80.9,76,87.5,220,5.8,2.9
"Reston,VA",38.95979,-77.35453,06/29/2019 06:00:00,0,84.1,77.3,90.1,285,12.8,5.1
"Reston,VA",38.95979,-77.35453,06/29/2019 18:00:00,0,81.3,76.9,87.3,273.3,9.2,5.5
"Reston,VA",38.95979,-77.35453,06/30/2019 06:00:00,0,83.3,77.6,89,301.7,20.8,9.1
"Reston,VA",38.95979,-77.35453,06/30/2019 18:00:00,0,77,72.1,84.3,330.4,17,8.2
"Reston,VA",38.95979,-77.35453,07/01/2019 06:00:00,0,79,72.6,85,312.5,13.9,7.1
"Reston,VA",38.95979,-77.35453,07/01/2019 18:00:00,0,80.1,79.1,81.1,65,8.5,4
